,underlying_price,base_volatility,skew,kurtosis
2019-03-20,21608.92,0.13903528571428572,0.018078142857142848,0.003973714285714275
2019-03-22,21627.34,0.1339434642857143,0.04743835714285713,0.005472642857142829
2019-03-25,20977.11,0.169138125,0.056722124999999984,0.004632651785714287
2019-03-26,21428.39,0.1532805,0.05440250000000002,0.008171250000000019
2019-03-27,21378.73,0.15171914285714286,0.037939214285714284,0.007352339285714271
2019-03-28,21033.76,0.16814928571428572,0.04034528571428572,0.006399214285714272
2019-03-29,21205.81,0.1549239642857143,0.03401280357142855,0.004941348214285712
2019-04-01,21509.03,0.15449428571428572,0.04534671428571427,0.006360142857142842
2019-04-02,21505.31,0.151113,0.036249375,0.0078450625
2019-04-03,21713.21,0.14675592857142855,0.027259821428571418,0.005219160714285742
2019-04-04,21724.95,0.14608787499999998,0.03425007142857145,0.006104321428571452
2019-04-05,21807.5,0.14540885714285715,0.03169321428571428,0.004147821428571424
2019-04-08,21761.65,0.14403498214285715,0.020219303571428593,0.005173187499999982
2019-04-09,21802.59,0.138198,0.04028750000000003,0.008684750000000019
2019-04-12,21870.56,0.13466835714285713,0.031163057142857137,0.0022045571428571664
2019-04-15,22169.11,0.1368959,0.025612100000000027,0.005672707142857142
2019-04-16,22221.66,0.127547,0.02077599999999999,0.0033585000000000143
2019-04-17,22277.97,0.12482832857142859,0.028638957142857135,0.006418521428571411
2019-04-18,22090.12,0.13425404285714287,0.024736328571428573,0.0028691928571428216
2019-04-19,22200.56,0.12616721428571429,0.02492985714285717,0.004842000000000013
2019-04-22,22217.9,0.13270071428571428,0.02201315714285712,0.004061264285714294
2019-04-23,22259.74,0.1260483,0.029170500000000002,0.007783050000000014
2019-04-24,22200.0,0.134534,0.034219499999999986,0.005523250000000035
2019-04-25,22307.58,0.13324894285714287,0.01720000000000002,0.002008228571428544
2019-04-26,22258.73,0.13768887142857145,0.03905468571428572,0.007777428571428546
2019-05-07,21923.72,0.1749387,0.03923120000000002,0.007065900000000014
2019-05-08,21602.59,0.18699359999999998,0.047935499999999964,0.0099008785714286
2019-05-09,21402.13,0.20538664285714286,0.05635742857142856,0.018546285714285737
2019-05-10,21344.92,0.2089935,0.07064050000000002,0.0036322500000000035
2019-05-13,21191.28,0.19905849999999997,0.05966499999999997,0.004860000000000031
2019-05-14,21067.23,0.19628299999999999,0.06126349999999997,0.005834750000000027
2019-05-15,21188.56,0.17157826785714284,0.048135392857142856,0.004566035714285738
2019-05-16,21062.98,0.17651610714285715,0.047562142857142886,0.0031419642857142827
2019-05-17,21250.09,0.1651455,0.03642355357142857,0.006029366071428566
2019-05-20,21301.73,0.1646812142857143,0.036287464285714305,0.004615946428571438
2019-05-21,21272.45,0.16235075,0.04449637500000003,0.007453687500000028
2019-05-22,21283.37,0.15816871428571427,0.04212964285714285,0.005640250000000013
2019-05-23,21151.14,0.16423564285714287,0.051802875,0.005681437499999997
2019-05-24,21117.22,0.16669335714285716,0.04257389285714283,0.0032755178571428623
2019-05-27,21182.58,0.16198085714285715,0.03428880357142855,0.003927116071428566
2019-05-28,21260.14,0.15498325,0.04285950000000002,0.007958250000000028
2019-05-29,21003.37,0.16260982142857144,0.05354724999999999,0.00918978571428572
2019-05-30,20942.53,0.1702894285714286,0.042069928571428605,0.0018086785714285514
2019-05-31,20601.19,0.1858673035714286,0.060352196428571425,0.0039004910714285357
2019-06-03,20410.88,0.1860722142857143,0.0561902142857143,0.0062124642857142864
2019-06-04,20408.54,0.181915375,0.047534625000000025,0.004657687500000007
2019-06-05,20776.1,0.16664514285714285,0.04455564285714286,0.0064470357142857315
2019-06-06,20774.04,0.1590777857142857,0.04079373214285717,0.008245508928571454
2019-06-07,20884.71,0.15323678571428573,0.025227214285714283,0.005286035714285708
2019-06-10,21134.42,0.15337935714285716,0.033074357142857114,0.007886678571428551
2019-06-11,21204.28,0.153478,0.027683000000000013,0.0026530000000000165
2019-06-14,21116.89,0.15358366071428572,0.03766601785714285,0.005415241071428573
2019-06-17,21124.0,0.15127857142857143,0.023091392857142873,0.0018709464285714406
2019-06-18,20972.71,0.15096925000000003,0.032397499999999996,0.00551099999999996
2019-06-19,21333.87,0.14701971428571428,0.02686885714285714,0.004877357142857169
2019-06-20,21462.86,0.13480464285714286,0.021538624999999978,0.004176205357142859
2019-06-21,21258.64,0.1416935,0.024500464285714285,0.006417124999999996
2019-06-24,21285.99,0.14300892857142858,0.024624910714285714,0.0051698660714285805
2019-06-25,21193.81,0.1454705,0.03597475,0.004745625000000003
2019-06-26,21086.59,0.14869826785714285,0.03484028571428571,0.004973357142857154
2019-06-27,21338.17,0.146625,0.03861214285714287,0.005177428571428555
2019-06-28,21275.92,0.15051230357142859,0.022772946428571417,0.004980598214285703
2019-07-01,21729.97,0.14112585714285714,0.010062428571428556,0.00137771428571426
2019-07-02,21754.27,0.13337875,0.021014125000000022,0.006104812500000001
2019-07-03,21638.16,0.13113428571428573,0.030335678571428576,0.005823196428571403
2019-07-04,21702.45,0.12525258928571428,0.019549107142857153,0.0063899107142857126
2019-07-05,21746.38,0.1248497857142857,0.023319571428571426,0.004729642857142863
2019-07-08,21534.35,0.12918748214285714,0.015123499999999984,0.004409714285714295
2019-07-09,21565.15,0.12477400000000001,0.02589050000000001,0.006296249999999989
